"ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","final_winner","past_winner","dropped_from_final_ballot"
1,1095147,"Haji Rahim Jan Shinzad","الحاج رحيم جان شيرزاد )فی سبيل الله(","مستقل","M","NO","NO","NO"
2,5552641,"Mohammad Yasin Safi","محمد ياسين ) صافی (","مستقل","M","NO","NO","YES"
3,6359413,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","مستقل","M","NO","NO","NO"
4,4657143,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","مستقل","M","NO","NO","NO"
5,6350379,"Dr. Habib Mangal","داکتر حبيب منگل","حزب نھضت فراگير دموکراسی وترقی افغانستان","M","NO","NO","NO"
6,7822442,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","مستقل","M","NO","NO","NO"
7,7770491,"Sayed Jalal Karim","سيد جلال کريم","مستقل","M","NO","NO","NO"
8,6359075,"Mirwais Yasini","ميرويس ياسينی","مستقل","M","NO","NO","NO"
9,3907996,"Bismillah Shir","بسم الله شير","مستقل","M","NO","NO","NO"
10,2287256,"Bashir Ahmad Bizhan","بشير احمد بيژن","مستقل","M","NO","NO","NO"
11,8894180,"Motasim Billah Mazhabi","معتصم با􏲽 مذھبی","مستقل","M","NO","NO","NO"
12,6359797,"Ashraf Ghani Ahmadzai","اشرف غنی احمدزی","مستقل","M","NO","NO","NO"
13,860263,"Abdul Latif Pedram","عبداللطيف ) پدرام (","حزب کنگره ملی افغانستان","M","NO","NO","NO"
14,3010205,"Shahnawaz Tanai","شھنواز تڼی","د افغانستان د سولی غورځنګ ګوند","M","NO","NO","NO"
15,6350728,"Dr. Mohammad Nasir Anis","دوکتور محمد نصير انيس","مستقل","M","NO","NO","YES"
16,6189430,"Mulla Abdul Salam Rakity","ملا عبد السلام ) راکتی (","مستقل","M","NO","NO","NO"
17,6350715,"Zia-ul-haq Hafizi","ضيا الحق ) حافظی (","مستقل","M","NO","NO","NO"
18,6189294,"Mohammad Akbar Oria","محمد اکبر )اوريا (","مستقل","M","NO","NO","NO"
19,3907754,"Baz Mohammad Kofi","باز محمد ) کوفی(","مستقل","M","NO","NO","YES"
20,977770,"Sangin Mohammad Rahmani","سنگين محمد ) رحمانی (","مستقل","M","NO","NO","NO"
21,3010270,"Mahbob-U-lah Koshani","محبوب الله ) کوشانی(","حزب آزادگان افغانستان","M","NO","NO","NO"
22,926537,"Mohammad Hakim Torsan","محمد حکيم تورسن","مستقل","M","NO","NO","YES"
23,3788581,"Abdul Hasib Arian","عبدالحسيب ) آرين (","مستقل","M","NO","NO","NO"
24,6178408,"Mulla Ghulam Mohammad Rigi","ملا غلام محمد )ريگی(","مستقل","M","NO","NO","NO"
25,997138,"Ramazan Bashardost","رمضان بشردوست","مستقل","M","NO","NO","NO"
26,6368755,"Mawlawi Mohammad Sayed Hashimi","مولوی محمد سعيد ھاشمی","حزب حرکت انقلاب اسلامی و ملی افغانستان","M","NO","NO","YES"
27,12223481,"Abdul Majid Samim","عبدالمجيد ) صميم (","مستقل","M","NO","NO","NO"
28,6188208,"Nasrullah Baryalai Arsalai","نصرالله بريالی )ارسلائی(","مستقل","M","NO","NO","YES"
29,6358686,"Alhaj Shah Mahmood Popal","الحاج شاه محمود پوپل","حزب صلح ملی اسلامی افغانستان","M","NO","NO","YES"
30,6370916,"Mrs. Shahla Ata","شھلا ) عطا (","مستقل","F","NO","NO","NO"
31,6358651,"Dr. Ghulam Faroq Nijrabi","پروفيسور دوکتور غلام فاروق ) نجرابی(","حزب استقلال افغانستان","M","NO","NO","NO"
32,7263746,"Alhaj Abdul Ghafor Zori","الحاج عبد الغفور )زوری(","مستقل","M","NO","NO","NO"
33,6155279,"Mohammad Hashim Tawfiqi","محمد ھاشم توفيقی","مستقل","M","NO","NO","NO"
34,6136166,"Haji Hasan Ali Sultani","الحاج حسن علی )سلطانی(","مستقل","M","NO","NO","YES"
35,983418,"Hamed Karzai","حامد کرزی","مستقل","M","YES","YES","NO"
36,6359633,"Mawlana Abdul Qadir Imami Ghori","مولانا عبدالقادر امامی غوری","مستقل","M","NO","NO","YES"
37,1004871,"Dr. Abdullah Abdullah","داکتر عبد الله ) عبدالله (","مستقل","M","NO","NO","NO"
38,6371180,"Dr. Frozan Fana","داکتر فروزان ) فنا (","مستقل","F","NO","NO","NO"
39,5109208,"Abdul Jabar Sabit","عبدالجبار ثابت","مستقل","M","NO","NO","NO"
40,11348474,"Hidayat Amin Arsala","ھدايت امين ارسلا","مستقل","M","NO","NO","NO"
41,7849401,"Gul Ahmmad Yama","گل احمد )يما(","مستقل","M","NO","NO","NO"
