"province_name_eng","AG_votes","AG_pct","AA_votes","AA_pct"
"Kabul","432050","51.08%","413724","48.92%"
"Kapisa","9923","12.34%","70470","87.66%"
"Parwan","20158","14.33%","120507","85.67%"
"Wardak","136374","76.14%","42738","23.86%"
"Logar","75849","91.76%","6807","8.24%"
"Ghazni","109871","39.85%","165861","60.15%"
"Paktika","253067","89.47%","29769","10.53%"
"Paktia","264424","92.64%","21006","7.36%"
"Khost","341779","96.94%","10798","3.06%"
"Nangerhar","295930","78.15%","82736","21.85%"
"Kunarha","172970","87.54%","24619","12.46%"
"Laghman","100630","86.15%","16177","13.85%"
"Nooristan","19133","32.66%","39447","67.34%"
"Badakhshan","63612","22.56%","218314","77.44%"
"Takhar","141672","47.99%","153540","52.01%"
"Baghlan","142372","42.88%","189626","57.12%"
"Kunduz","106608","56.98%","80478","43.02%"
"Samangan","51561","37.41%","86259","62.59%"
"Balkh","127712","36.84%","218977","63.16%"
"Juzjan","102079","80.46%","24783","19.54%"
"Sar-i-pul","68078","53.00%","60359","47.00%"
"Faryab","197118","66.55%","99084","33.45%"
"Badghis","35557","32.46%","73985","67.54%"
"Herat","164058","34.34%","313682","65.66%"
"Farah","31593","48.44%","33633","51.56%"
"Nimroz","19029","63.67%","10857","36.33%"
"Helmand","40219","69.89%","17330","30.11%"
"Kandahar","223964","82.99%","45906","17.01%"
"Zabul","16652","82.44%","3548","17.56%"
"Urozgan","12922","67.33%","6271","32.67%"
"Ghor","75371","28.22%","191711","71.78%"
"Bamyan","39572","24.55%","121608","75.45%"
"Panjshir","4022","6.51%","57735","93.49%"
"Daikondi","39638","23.00%","132673","77.00%"
