"province_code","province_name_eng","recount_blocked","bvv_total_votes","ps_planned","ps_audited","audit_ps_missing_bvv","bvv_votes_under_audit","audit_pct_province","audit_pct_natl"
"01","KABUL","NO",354924,4777,1133,187,80142,0.225800453054738,0.0434820116249355
"02","KAPISA","NO",14572,481,189,49,5176,0.355201756793851,0.00280830141711794
"03","PARWAN","NO",34379,704,106,24,3960,0.115186596468775,0.00214854590645036
"04","MAYDANWARDAK","NO",20157,516,193,165,2726,0.135238378726993,0.00147902427802618
"05","LOGAR","NO",14050,310,152,27,8818,0.627615658362989,0.00478431257653517
"06","NANGARHAR","NO",201701,2534,776,157,46504,0.230559094897893,0.0252313077862544
"07","LAGHMAN","NO",26078,513,60,22,2004,0.0768463839251476,0.0010872944435673
"08","PANJSHIR","YES",18912,295,9,6,193,0.0102051607445008,0.000104714484834576
"09","BAGHLAN","YES",32605,1295,712,320,15199,0.466155497623064,0.00824640132124722
"10","BAMYAN","NO",84374,649,17,6,1292,0.0153127740773224,0.000700990230084309
"11","GHAZNI","NO",55391,828,346,135,11881,0.214493329241212,0.00644618028144866
"12","PAKTIKA","NO",33400,773,388,169,17981,0.538353293413174,0.00975580907673836
"13","PAKTYA","NO",39040,1194,715,298,25740,0.659323770491803,0.0139655483919273
"14","KHOST","NO",76348,835,328,74,28302,0.370697333263478,0.015355592485949
"15","KUNARHA","NO",64314,586,125,4,16506,0.256647075286874,0.00895552998279536
"16","NOORESTAN","NO",11687,286,106,7,7346,0.628561649696244,0.00398566116888493
"17","BADAKHSHAN","YES",71556,1093,286,31,20197,0.282254458046844,0.0109581266849944
"18","TAKHAR","YES",63281,1026,77,16,4752,0.0750936299995259,0.00257825508774043
"19","KUNDUZ","NO",12976,581,51,29,866,0.0667385943279901,0.000469858776511619
"20","SAMANGAN","NO",38470,457,28,4,2858,0.0742916558357161,0.00155064247490786
"21","BALKH","NO",74345,1467,35,17,1737,0.0233640460017486,0.00094243036351118
"22","SARE PUL","YES",34413,436,43,12,2610,0.0758434312614419,0.00141608707470592
"23","GHOR","NO",53176,798,246,20,27965,0.525895140664962,0.0151727490590617
"24","DAYKUNDI","NO",100738,658,58,8,7370,0.073160078619786,0.00399868265922705
"25","URUZGAN","NO",6277,200,24,18,466,0.0742392862832563,0.000252833937476229
"26","ZABUL","NO",7028,213,154,26,6318,0.898975526465566,0.00342790733256398
"27","KANDAHAR","NO",55379,1584,750,318,25543,0.461239820148432,0.0138586636587024
"28","JAWZJAN","YES",38574,322,13,3,1623,0.0420749727795925,0.000880578284386094
"29","FARYAB","YES",25787,655,234,39,6472,0.250979175553574,0.00351146189559261
"30","HELMAND","NO",34527,937,590,113,18897,0.547310800243288,0.0102527959581294
"31","BADGHIS","NO",9946,335,5,2,301,0.0302634224813996,0.000163311191374131
"32","HERAT","NO",118207,1738,177,70,6341,0.0536431852597562,0.00344038626080852
"33","FARAH","NO",6230,226,89,21,2568,0.412199036918138,0.0013932994666072
"34","NIMROZ","NO",10265,284,53,26,307,0.0299074525085241,0.000166566563959662
