"province_code","province_name_eng","ps_reporting_count","ps_invalidated_count","ps_scan_count","ps_invalidated_scan_count","ps_difference","ps_invalidated_difference"
"01","Kabul",4701,181,4578,174,-123,-7
"02","Kapisa",436,49,413,49,-23,0
"03","Parwan",691,24,679,23,-12,-1
"04","Wardak",243,165,227,165,-16,0
"05","Logar",264,28,251,26,-13,-2
"06","Nangarhar",2456,77,2434,74,-22,-3
"07","Laghman",442,22,437,22,-5,0
"08","Panjsher",293,6,289,6,-4,0
"09","Baghlan",814,320,714,320,-100,0
"10","Bamyan",644,6,641,6,-3,0
"11","Ghazni",694,172,649,167,-45,-5
"12","Paktika",641,174,592,172,-49,-2
"13","Paktya",759,299,684,292,-75,-7
"14","Khost",789,74,760,74,-29,0
"15","Kunar",585,5,581,4,-4,-1
"16","Nuristan",169,8,161,8,-8,0
"17","Badakhshan",964,29,955,29,-9,0
"18","Takhar",781,11,780,11,-1,0
"19","Kunduz",375,29,368,28,-7,-1
"20","Samangan",362,4,360,4,-2,0
"21","Balkh",969,17,963,17,-6,0
"22","Sar-e-Pul",373,2,373,2,0,0
"23","Ghor",462,26,454,26,-8,0
"24","Daykundi",658,8,650,8,-8,0
"25","Uruzgan",185,18,180,17,-5,-1
"26","Zabul",168,26,164,26,-4,0
"27","Kandahar",1446,233,1324,193,-122,-40
"28","Jawzjan",296,3,296,3,0,0
"29","Faryab",373,33,350,22,-23,-11
"30","Hilmand",910,84,850,83,-60,-1
"31","Badghis",164,2,163,2,-1,0
"32","Hirat",1541,71,1509,71,-32,0
"33","Farah",162,67,159,67,-3,0
"34","Nimroz",269,26,258,26,-11,0
