"province_code","province_name_eng","pc_count","ps_count","candidate_count","vote_count"
"01","KABUL",555,4701,14,349082
"02","KAPISA",77,436,14,14114
"03","PARWAN",152,691,14,33211
"04","MAYDANWARDAK",63,243,14,19901
"05","LOGAR",31,264,14,14196
"06","NANGARHAR",390,2457,14,204356
"07","LAGHMAN",64,442,14,25930
"08","PANJSHIR",96,293,14,18393
"09","BAGHLAN",152,806,14,30258
"10","BAMYAN",219,644,14,82452
"11","GHAZNI",200,694,14,51923
"12","PAKTIKA",160,641,14,31512
"13","PAKTYA",140,759,14,38386
"14","KHOST",185,789,14,77866
"15","KUNARHA",110,585,14,64205
"16","NOORESTAN",29,169,14,10869
"17","BADAKHSHAN",237,964,14,70127
"18","TAKHAR",166,781,14,61835
"19","KUNDUZ",59,375,14,12676
"20","SAMANGAN",72,362,14,37393
"21","BALKH",156,969,14,72345
"22","SARE PUL",65,373,14,34202
"23","GHOR",106,462,14,48540
"24","DAYKUNDI",252,658,14,98170
"25","URUZGAN",30,185,14,5434
"26","ZABUL",32,168,14,5983
"27","KANDAHAR",165,1449,14,68373
"28","JAWZJAN",53,296,14,37710
"29","FARYAB",58,373,14,26596
"30","HELMAND",97,910,14,38137
"31","BADGHIS",39,164,14,9664
"32","HERAT",250,1541,14,116210
"33","FARAH",30,162,14,4541
"34","NIMROZ",50,269,14,9801
